故障代码,故障描述,故障可能原因,解决步骤,,,,,,,,,,,
E0,燃气安全监测,"1.漏气报婺
2.燃烧不充分报警气敏头报警
3.异味报警
4.气敏头太灵敏
5.气敏头线短路",1.检查燃气是否有存在泄漏现象 2.厨房是否喷有味道比较重的喷剂,,,,,,,,,,,
E1,点火系统监测,"1.燃气表电池
2.燃气自闭阀跳闸
3.内火圈火孔堵塞
4.电池故障","1.检查燃气表电池是否有充足电量 
2.检查燃气自闭阀是否打开 
3.用牙签通下内火圈出火孔
4.检查机子里储电池盒是否需要更换电池",,,,,,,,,,,
E2,意外熄火监测,"1.空气不足 
2.汤水溢出 
3.出火孔堵塞",1.检查机子台面上是否垫有锡纸引起空气不足导致的熄火情况 2.汤水溢出拿吹风机吹干出火炉盘 ，清理后方可使用3.牙签通小炉盖的出火孔 ,,,,,,,,,,,
E3,定时功能监测,"1.连接插件松脱，重新连接后使用
2显示屏损坏，更换显示屏
3.脉冲坏，更换脉冲",需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E4,门控开关监测,1.E4 代表在消毒或烘干时门控开关断开或门未关好2检查门是否关好，3.门控开关是否松脱,1.检查是否有东西卡住 2.检查消毒柜门是否关好,,,,,,,,,,,
E5,电磁灶锅具监测,1.使用适合锅具或锅具未放好,检查使用适合锅具不匹配或锅具未放好,,,,,,,,,,,
E6,防火墙功能启动,1.防火墙线坏2显示屏坏3.显示屏或电源板(白防火墙线插那跟那有关系),检查防火墙是否油垢太多清理一下，如果还不行，需更换。,,,,,,,,,,,
E7,防火墙功能监测,1防火墙线未插好2防火墙线坏3.显示屏坏或电源板(白防火墙线插那跟那有关系),需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E8,炉头温度传感器监测,1.连接插件松脱，重新连接后使用 2.温度传感器损坏 更换温度传感器 3.控制器损坏 更换控制器,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E9,炉头过热监测,1.燃烧器温度过高，待降温后再使用2温度传感器异常，更换燃烧器温度传感器3.控制器坏，更换控制器,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E10,档位信号监测,1.点火时，旋钮没有旋到档位，关闭重新打开2霍尔开关线松脱，重新接插3.总成内磁感应块坏，更换磁感应块,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E11,鼓风机监测,1.异物长堵，清理后使用2鼓风机坏，更换鼓风机,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E12,鼓风机转速偏离监测,1.连接线松脱，重新连接2.鼓风机坏更换鼓风机3.控制器坏更换控制器,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E13,风机联动信号监测,1.脉冲损坏，更换脉冲,,,,,,,,,,,,
E14,变频电路过压监测,2点火开关坏，更换点火开关,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E15,变频电路欠压监测,1.用户市电压过高，等电压稳定后，恢复正常2.电源板被干扰，检查点火针位置是否碎裂或靠近脉冲接地端;3.电源板故障误报警，更换电源板,1.电压不稳 拔掉电源后重新启动,,,,,,,,,,,
E16,变频电路过流监测,1.电机连接线接触不良;检查电机插线是否有松脱情况，重新插好即可2.电源板被干扰，检查点火针是否碎裂或靠近脉冲接地端:3.电源板故障误报警，更换电源板,1.电压不稳 2.电源板故障误报警 ,,,,,,,,,,,
E17,变频电路过温监测,1.电机连接线接触不良;检查电机插线是否有松脱情况，重新插好即可2.电源板被干扰，检查点火针是否碎裂或靠近脉冲接地端:4.电源板故障误报警，更换电源板,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E18,变频电机缺相监测,1.电机连接线是否存在脱线情况(未接触);2电机连接线线序错误;更换电机线,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E19,变频电机堵转监测,1.叶轮卡住，无法运转2.电源板故障，误报警，更换电源板,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E20,变频电机失步监测,1.电源板被干扰，检查点火针是否碎裂,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E21,变频电机超速监测,1.电源板故障，误报警，更换电源板,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E22,电动风门开闭监测,1.检查止逆风门开启、关闭是否正常2检查止逆风门侧板连接端是否存在短路现像3.止逆风门连接线短路象;4.电源板故障，更换电源板,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
ED,电路系统监测,1.连接线松脱，重新断电接插2.控制器损坏，更换,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
EE,气敏头链接监测,1.气敏头传感器坏，更换2.气敏头线坏，更换,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
EN,翻转电机监测,"1.翻盖内部定位开关损坏，更换2.翻盖定位拨杆损坏，更换
3翻盖电机不转检查线 
4.连接线松脱，重新接插",需要联系客服安排专业师傅上门检修,,,,,,,,,,,
F01,电磁灶过热,1. 锅底不平或空锅干烧2. 散热不良,检查是否长时间使用或是干烧,,,,,,,,,,,
F02,电磁灶温控故障,1. 温控探头失灵2. 控制板故障,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
E7米兰、飞天、飞燕,温度探头未插好或故障,、箱体温度探头脱开、短路检查对应线路插好即可2箱体温度高于 125C3.箱体温度探头损坏4.电源板损坏,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
EH,底盘温度过高(超过 180 度),1、发热盘温度传感器开、短路检查对应线路和温度传感器2 检查发热盘是否干烧或发热盘水量少3.发热盘底部温控器跳开，断电冷却后自动复位4.发热盘正反面是否结垢或发热盘损坏,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
EF,0-15分钟内没有达到设定温度,1.15 分钟内发热盘温度未达到设定规定值2发热盘故障(一般主发热盘故障),需要联系客服安排专业师傅上门检修,,,,,,,,,,,
EL,缺水报警,"1.水盒没有水或没有推到底2供水阀(供水电磁阀)未打开，检查接插线或供水阀是否损坏3.产品安装不水平，导致水位检测器浮漂卡住，需重新调节地脚4.水位检测器浮漂卡住，用吸水球往发热盘出水口位置多次冲水或开关蒸箱门板(震动浮漂)即可5.水位检测器接插线或本身故障，需更换
6.蒸箱电源板故障更换即可",1.检查加热盘出水孔是否堵塞，拿筷子通下出水孔 ,,,,,,,,,,,
EP,发热盘温度大于 135度，触发强制防干烧探头线端开/短路水，温度仍然持续高温,1.擦拭发热盘，新机去除不锈钢光亮剂、使用过的机器去除水垢3、防干烧探头故障4.发热盘故障更换即可,1.加热盘水垢太厚重 需用醋浸泡加热盘 擦拭加热盘 ,,,,,,,,,,,
E4米兰、飞天、飞燕,门控开关异常,1.门未关好，无法感应磁感应开关2门板左上角的磁铁没磁性或损坏更换磁铁即可3.检查门锁对应线路开/短路4.门锁故障更换即可5.磁感应开关故障更换即可6.电源板故障更换即可,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
ED米兰、飞天、飞燕,显示屏与电源板未连接好,1.显示屏信号线电源板脱开2显示屏损坏3.信号线损坏4.电源板损坏,需要联系客服安排专业师傅上门检修,,,,,,,,,,,
